id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27491130,Economical Living Room w/ Twin Air Mattress,198552043,Maji,,Lincoln Square,41.96322,-87.68913,Shared room,40,1,2,2018-10-20,0.25,2,89
27501205,Lincoln Park 2BR - Walk Everywhere!,183323422,Turnkey Vacation Rentals,,Lincoln Park,41.91301,-87.65381,Entire home/apt,115,31,0,,,1,190
27510339,Cozy Room in Pilsen,199918206,Peters,,Lower West Side,41.84832,-87.68047,Private room,65,1,1,2018-09-17,0.14,1,270
27523347,Mid-Century Modern Loft - West Loop/Greektown,14759779,Carolyn,,Near West Side,41.87852,-87.64598,Entire home/apt,144,1,14,2019-03-24,2.47,1,0
27523738,Wonderful Private Room near Wrigley Field,203376999,Paul,,Lake View,41.93999,-87.65728,Private room,70,1,2,2018-09-16,0.25,4,238
27524583,Spacious top floor condo in West Town,25192144,Robyn,,West Town,41.89728,-87.66581,Entire home/apt,163,2,8,2019-03-17,1.07,1,15
27525840,Private Room with Character,32928568,Alfonso,,West Town,41.89335,-87.6663,Private room,95,7,1,2018-09-09,0.14,2,0
27525969,Vintage Hyde Park Studio No.7 by Zencity,47172572,Zencity,,Hyde Park,41.79363,-87.59155,Entire home/apt,21,1,48,2019-04-12,6.37,61,94
27526780,"Beautiful Bedroom near Wrigley, Boystown, and Lake",203376999,Paul,,Lake View,41.93934,-87.65584,Private room,70,1,3,2018-10-20,0.37,4,238
27529239,West Loop Gotham Lofts Cozy Bedroom,26342248,Alaina,,Near West Side,41.87518,-87.64116,Private room,100,1,1,2019-04-11,1,1,21
27529259,Spacious Retreat in Lincoln Park with Parking,24203102,Colin,,Lincoln Park,41.92212,-87.65498,Entire home/apt,160,2,26,2019-04-13,3.45,2,33
27530422,Long Term Stay Across from Lincoln Park,56434967,John,,Lincoln Park,41.91819,-87.63635,Entire home/apt,150,32,0,,,1,24
27539828,Casa Del P.,165984330,Dave,,Grand Boulevard,41.80648,-87.60831,Private room,55,1,2,2018-10-21,0.34,1,177
27540212,Cozy 2BR-2BA a block away from Millenium Park,12013646,Luis,,Loop,41.88372,-87.62489,Entire home/apt,200,1,56,2019-04-01,6.69,6,89
27542419,Chicago House,127907320,Angela,,Austin,41.88103,-87.75812,Entire home/apt,150,2,3,2018-10-21,0.44,2,178
27543248,Epitome of Mental and Visual Peace,107488150,Susie,,East Garfield Park,41.87114,-87.71059,Private room,65,1,5,2018-10-21,0.67,1,0
